step_no,step_desc,empty_col1,step_qty,step_unit,component_item_code,notes_1,notes_2,empty_col2,empty_col2,blend_part_num,ref_no,prepared_by,prepared_date,lbs_gal
8,Add Preventol D7,,0.010539999999999999,lbs,030146P,,,,,8,1170570.B,5-137E,VW,2017-06-05,10.54
9,Measure up Chromatint Green 1707 dye; making sure to shake dye pail,,,,,,,,,9,1170570.B,5-137E,VW,2017-06-05,10.54
10,Add Chromatint Green 1707,,0.1914064,grams,030181,,,,,10,1170570.B,5-137E,VW,2017-06-05,10.54
11,Agitate for 10 minutes.,,,,,,,,,11,1170570.B,5-137E,VW,2017-06-05,10.54
12,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,12,1170570.B,5-137E,VW,2017-06-05,10.54
13,Ensure that any agitators used have been turned off.,,,,,,,,,13,1170570.B,5-137E,VW,2017-06-05,10.54
14,Remove GHS label from the mix vessel.,,,,,,,,,14,1170570.B,5-137E,VW,2017-06-05,10.54
1,Gather the required materials.,,,,,,,,,1,128695.B,4-012B,VW,2011-09-21,8.45
2,Verify that the vessel is clean. ,,,,,,,,,2,128695.B,4-012B,VW,2011-09-21,8.45
3,Apply GHS label to the mix vessel.,,,,,,,,,3,128695.B,4-012B,VW,2011-09-21,8.45
4,Charge vessel with water.,,7.6041549999999996,lbs,WATER,,,,,4,128695.B,4-012B,VW,2011-09-21,8.45
5,Add Evogen Multi-Purpose 10XF,,0.845,lbs,030106,,,,,5,128695.B,4-012B,VW,2011-09-21,8.45
6,Add Chromatint 1102 Green Dye,,0.3644485,grams,100438,,,,,6,128695.B,4-012B,VW,2011-09-21,8.45
7,Agitate for 15 minutes.,,,,,,,,,7,128695.B,4-012B,VW,2011-09-21,8.45
8,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,8,128695.B,4-012B,VW,2011-09-21,8.45
9,Ensure that any agitators used have been turned off.,,,,,,,,,9,128695.B,4-012B,VW,2011-09-21,8.45
10,Remove GHS label from the mix vessel.,,,,,,,,,10,128695.B,4-012B,VW,2011-09-21,8.45
1,Gather the required materials.,,,,,,,,,1,14308.B,,VW,2018-01-30,6.63
2,Verify that the vessel is clean.,,,,,,,,,2,14308.B,,VW,2018-01-30,6.63
3,Change all sock filters and water trap filters.,,,,,,,,,3,14308.B,,VW,2018-01-30,6.63
4,Agitate enzyme drums for 3 minutes before using.,,,,,,,,,4,14308.B,,VW,2018-01-30,6.63
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,,100.0,gal,100507TANKO,,,,,5,14308.B,,VW,2018-01-30,6.63
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,,0.968711177347243,lbs,100507TANKO,,,,,6,14308.B,,VW,2018-01-30,6.63
7,Start agitator at 160 RPM.,,,,,,,,,7,14308.B,,VW,2018-01-30,6.63
8,Add Enzyme through 5 and 1 micron filter stacked.,,0.12994799999999998,lbs,100433,,,,,8,14308.B,,VW,2018-01-30,6.63
9,Flush pump and add the extra 100gal of Calumet.,,100.0,gal,100507TANKO,,,,,9,14308.B,,VW,2018-01-30,6.63
10,Agitate for 1 hour.,,,,,,,,,10,14308.B,,VW,2018-01-30,6.63
11,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,11,14308.B,,VW,2018-01-30,6.63
12,Ensure that any agitators used have been turned off.,,,,,,,,,12,14308.B,,VW,2018-01-30,6.63
13,"When dumping, inspect storage tote for any trash, dirt, and/or water contamination.",,,,,,,,,13,14308.B,,VW,2018-01-30,6.63
1,Gather the required materials.,,,,,,,,,1,,3-171A,VW,2018-01-30,6.63
2,Verify that the vessel is clean.,,,,,,,,,2,,3-171A,VW,2018-01-30,6.63
3,Change all sock filters and water trap filters.,,,,,,,,,3,,3-171A,VW,2018-01-30,6.63
4,Agitate enzyme drums for 3 minutes before using.,,,,,,,,,4,,3-171A,VW,2018-01-30,6.63
5,Set aside 100gal of Calumet 400-500<1% LPA 170.,,100.0,lbs,100507TANKO,,,,,5,,3-171A,VW,2018-01-30,6.63
6,Charge vessel with all remaining Calumet 400-500<1% LPA 170.,,-99.03128882265275,gal,100507TANKO,,,,,6,,3-171A,VW,2018-01-30,6.63
7,Start agitator at 160 RPM.,,,,,,,,,7,,3-171A,VW,2018-01-30,6.63
8,Add Enzyme through 5 and 1 micron filter stacked.,,0.12994799999999998,lbs,100433,,,,,8,,3-171A,VW,2018-01-30,6.63
9,Flush pump and add the extra 100gal of Calumet.,,100.0,gal,100507TANKO,,,,,9,,3-171A,VW,2018-01-30,6.63
10,Pump product to dedicated amber-startron mix vessel. (Tank 17).,,,,,,,,,10,,3-171A,VW,2018-01-30,6.63
11,Hook air hose to line so excess product is blown out and product in vessel begins bubbling.,,,,,,,,,11,,3-171A,VW,2018-01-30,6.63
12,Leaving air on so that air bubbles agitate the blend; add Chromatint Yellow Dye HF D51003.,,0.06622043999999999,grams,030192,,,,,12,,3-171A,VW,2018-01-30,6.63
13,Leaving air on so that air bubbles agitate the blend; add Chromatint Red IK D530004.,,0.021070139999999998,grams,100416,,,,,13,,3-171A,VW,2018-01-30,6.63
14,Mix product for 1 hour using air bubbles. ,,,,,,,,,14,,3-171A,VW,2018-01-30,6.63
15,Sample blend; label sample container; and deliver sample to QC Lab.,,,,,,,,,15,,3-171A,VW,2018-01-30,6.63
