billno,po,description,blendPN,case_size,qty,bottle,cap,runtime,carton,starttime,line
092600EUR,241131,Descaling Motor Flush           ,602030,4-1gal,24,Natural 180gr RIG,38MMACID,0.25,502406,38.81666666666666,JB LINE,43
084000LME,241146,LABEL Marine Descaling Fluid RTU L/M/E   RUN WITH NO FILTER,602607RTU,4-1gal,25,Natural 180gr RIG,38MMACID,0.10416666666666667,502406,39.06666666666666,JB LINE,44
092800LME,241146,LABEL EZ On/Off Hull & Bottom Cleaner L/M                      1 micron filter        ,602020,4-1gal,10,Natural 180gr RIG,38MMACID,0.25,502406,39.17083333333333,JB LINE,45
19962ESB,241199,LABEL Snappy TK NU ES 2 (acid) - CASE PACK /  1 micron filter,19902.B,4-1gal,350,Natural 180gr RIG,38MMACID,1.7,502406,39.42083333333333,JB LINE,46
STN-G2,241133,Snappy USA TK NU 2 (acid) -  handle orientation /  1 micron filter ,19902.B,4-1gal,360,Natural 180gr RIG,38MMACID,1.7,502406,41.12083333333333,JB LINE,47
STN-G1,241133,Snappy USA TK NU 1 (caustic)   handle orientation / ,19903USA.B,4-1gal,360,Natural 180gr RIG,502403     (wht),1.7,502406,42.82083333333333,JB LINE,48
13.0070.01,241200,Magic Teak Clnr (caustic)  ,19901.B,4-1gal,150,Natural 180gr RIG,502403     (wht),0.8,502406,44.520833333333336,JB LINE,49
094700FF-KITS,241263,Power Pine Wash & Wax AMAZON FF wrap  -  TRAY PACK 288,94700.B,1gal filled bottle,288,Natural 180gr RIG,502403     (wht),0.4,,45.32083333333333,JB LINE,50
094700FF,241263,Power Pine Wash & Wax AMAZON FF wrap   uses 094700FF-KITS   outer carton 604100,,4-1gal single.,72,,,0,604099,45.72083333333333,JB LINE,51
094700EUR,241132,LABEL Power Pine Wash & Wax EURO                                                                   ,94700.B,4-1gal,24,Natural 180gr RIG,502403     (wht),0.33,502406,45.72083333333333,JB LINE,52
15026370,241133,West Marine Boat Soap      ,602046,4-1gal,750,Natural 180gr RIG,502403     (wht),3.125,502406,46.05083333333333,JB LINE,53
5359864,241133,WM Citrus Boat Soap            ,602604,4-1gal,100,Natural 180gr RIG,502403     (wht),0.7,502406,49.17583333333333,JB LINE,54
080400FF-KITS,241168,Boat Wash AMAZON FF      TRAY PACK 432,602000,1gal filled bottle,432,120gr Natural RIG,502403     (wht),0.7,,49.87583333333333,JB LINE,55
080400FF,241168,Boat Wash AMAZON FF  uses 080400FF-KITS           outer carton 604100,,4-1gal single.,108,,,0,604100,50.575833333333335,JB LINE,56
080400FF-KITS,241263,Boat Wash AMAZON FF      TRAY PACK 1440,602000,1gal filled bottle,1440,120gr Natural RIG,502403     (wht),1.5,,50.575833333333335,JB LINE,57
080400FF,241263,Boat Wash AMAZON FF  uses 080400FF-KITS           outer carton 604100,,4-1gal single.,360,,,0,604100,52.075833333333335,JB LINE,58
093900FF-KITS,241133,Salt Off Concentrate AMAZON FF  WHITE RIG / TRAY PACK 576                 ,94444CON.B,1gal filled bottle,576,140gr WHITE RIG,502403     (wht),0.8,,52.075833333333335,JB LINE,59
093900FF,241133,Salt Off Concentrate AMAZON FF    uses 093900FF-KITS    outer carton 604100,,4-1gal single.,144,,,0,604099,52.87583333333333,JB LINE,60
093900FF-KITS,241168,Salt Off Concentrate AMAZON FF  WHITE RIG / TRAY PACK 576                 ,94444CON.B,1gal filled bottle,576,140gr WHITE RIG,502403     (wht),0.8,,52.87583333333333,JB LINE,61
093900FF,241168,Salt Off Concentrate AMAZON FF    uses 093900FF-KITS    outer carton 604100,,4-1gal single.,144,,,0,604099,53.67583333333333,JB LINE,62
57000FF-KITS,240492,LABEL Home Composite Gel Deck Cleaner filled bottle   TRAY PACK 600,57000.B,1gal filled bottle,600,140gr WHITE RIG,502403     (wht),0.8,,53.67583333333333,JB LINE,63
57000FF,240492,Home Composite Gel Deck Cleaner   uses 57000FF-KITS     outer carton 604100,,4-1gal single.,150,,,0,604100,54.47583333333333,JB LINE,64
,,,,,,,,1.5,,54.47583333333333,JB LINE,65
087764FF-KITS,241168,Aluminum Boat Clnr AMAZON FF - TRAY PACK 1200    ,87700.B,64oz filled bottle,1200,SIKA HD Fstyle 64oz,607512VENT,1.25,,55.97583333333333,JB LINE,66
087762FF,241168,Aluminum Boat Clnr AMAZON FF - uses 087764FF-KITS  /   uses BAG / NO Sprayer  outer carton 604122,,4-64oz single.,300,,,0,604122,57.22583333333333,JB LINE,67
087764C,241133,Alum Boat Clnr Canadian  ,87700.B,4-64oz,250,SIKA HD Fstyle 64oz,607512VENT,1,604095,57.22583333333333,JB LINE,68
15023815,241133,West Marine Alum Clnr 2                     ,87700.B,4-64oz,100,white HD Fstyle 64oz,607512VENT,0.6,604095,58.22583333333333,JB LINE,69
093664,241133,Startron Tank Cleaner                                                  ,93100TANK.B,6-64oz,100,TransBlue pvc 64oz,607504(wht),1.25,604006,58.82583333333333,JB LINE,70
,,,,,,,,1.5,,60.07583333333333,JB LINE,71
027200FF-KITS,241133,SB Synthetic 80W90 AMAZON FF   TRAY PACK 800,27200.B,1gal filled bottle,800,BLUE HD Fstyle Gal,502411 (BLK),0.8333333333333334,,61.57583333333333,JB LINE,72
027200FF-4,241133,SB Synthetic 80W90 AMAZON FF   uses 027200FF-KITS   outer carton 604098,,4-1gal single.,200,,,0,604098,62.409166666666664,JB LINE,73
17997511,241133,WM 15W40                               black bottle / black cap,28000.B,6-1gal,80,BLACK HD Fstyle Gal,502411 (BLK),0.7,050200,62.409166666666664,JB LINE,74
17997362,241133,WM FULL Synthetic 10W40     black bottle / black cap,602071,6-1gal,40,BLACK HD Fstyle Gal,502411 (BLK),0.5,050200,63.10916666666667,JB LINE,75
17997420,241133,WM Synthetic 10W40               black bottle / black cap,28200.B,6-1gal,80,BLACK HD Fstyle Gal,502411 (BLK),0.75,050200,63.60916666666667,JB LINE,76
