,ItemCode, WarehouseCode, BinLocation, ReorderMethod, QuantityOnHand, QuantityOnPurchaseOrder, QuantityOnSalesOrder, QuantityOnBackOrder, AverageCost, QuantityRequiredForWO, EconomicOrderQty, ReorderPointQty, MinimumOrderQty, MaximumOnHandQty, QuantityOnWorkOrder, QuantityInShipping, TotalWarehouseValue, CostCalcQtyCommitted, CostCalcCostCommitted, DateCreated, TimeCreated, UserCreatedKey, DateUpdated, TimeUpdated, UserUpdatedKey, LastPhysicalCountDate
346,027010A1,MTG,,E,0.000000,0.000000,0.000000,0.000000,0.374800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
347,027010A1,SSI,,E,0.000000,0.000000,0.000000,0.000000,0.375000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
348,027010C,MTG,,E,0.000000,0.000000,0.000000,0.000000,13.359500,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
349,027010DGP-A,MTG,,E,0.000000,0.000000,0.000000,0.000000,10.315200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2015-10-27,9.65081,0000000007,2022-11-07,13.57475,0000000003,2022-09-30
350,027010LM,MTG,,E,0.000000,0.000000,0.000000,0.000000,14.145100,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2012-12-10,5.40323,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
351,027032,MTG,,E,0.000000,0.000000,0.000000,0.000000,40.275800,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-11-22,13.36804,0000000003,2022-09-30
352,027032,SSI,,E,0.000000,0.000000,0.000000,0.000000,17.331200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
353,027032C,MTG,,E,0.000000,0.000000,0.000000,0.000000,24.468400,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2010-12-15,18.21515,0000000013,2022-10-01,12.25146,0000000055,2022-09-30
354,027032DGF,MTG,,E,0.000000,0.000000,0.000000,0.000000,21.357200,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2019-12-13,8.98492,0000000007,2022-11-22,13.36804,0000000003,2022-09-30
355,027032DGP-A,MTG,,E,0.000000,0.000000,0.000000,0.000000,13.356900,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.000000,0.00,0.000000,0.000000,2015-10-27,9.69808,0000000007,2022-10-01,12.25146,0000000055,2022-09-30
