Part_Number,Description,Unit,StorageType,Excess_Storage,GeneralLocation,SpecificLocation
030032,CHEM - FATTY TALL OIL T-704,LB,Drum,,BlendingRack,BR4B
030033,CHEM - MINERAL SPIRITS 66/Calu,LB,Tank,,TankFarm,Tank1
030034,CHEM - Rocima - Nash MBC-997 /,LB,Tote,,Scale,Scale
030035,CHEM - MONETHANOLAMINE,LB,Drum,,BlendingRack,BR3E
030036,FRAGRANCE-PINE AC126674,LBS,Pail,,BlendingRack,BR1H
030038,CHEM - D-LIMONENE,LBS,Drum,,BlendingRack,BR2K
030039,CHEM - TETRAPOTASSIUM PYROPHOS,LB,PowderBags,,LabRack,LR3D
030041,CHEM - T-MULZ 800,LB,Drum,,BlendingRack,BR1C
030044,0x2a,0x2a,PowderBags,,LabRack,LR3B
030045,0x2a,0x2a,PowderBags,,LabRack,LR3B
030046,CHEM - Gastamine TAM-15RG (pre,LB,Drum,,UnderMixTank,MT2
030048,FRAGRANCE-SAVONNA item#220062,LB,Pail,,BlendingRack,BR1G
030050,CHEM - HYDRCHLRIC ACID 20-23 B,LB,Tote,,Shed2,BS2A
030056,CHEM - DMF-50  (DOW 200 - 50 C,LB,Drum,,BlendingRack,BR4A
030063,DYE-KEYSTONE LIQ OIL 2HF,LB,,,DyeShelves,DyeShelves
030064,0x2a,0x2a,,,NOTSTORED,NOTSTORED
030066,CHEM - DKP - LIQUID  50%,GAL,Tank,,TankFarm,Tank18
030070,CHEM - T-DET TAMD 5,LB,Drum,,BlendingRack,BR4A
030079,CHEM - FLEXIWET NF,LB,Pail,,UnderMixTank,MT2
030085,CHEM - Stanfax 1025,LB,Tote,,BlendingOffice,BO6
030093,CHEM - CA1082,LB,Drum,,MaterialsRack,MR1A
030104,CHEM - COLAMIDE 0071/repl nino,LB,Tote,,MainMaterials,MM14
030105,CHEM - NA SUL 437,LB,Drum,,MainMaterials,MM16
030106,CHEM - Evogen Multi-Purpose 10,LB,Drum,,BlendingRack,BR2F
030107,CHEM - API - WS500,LB,Drum,,BlendingRack,BR2B
030109,FRAGRANCE-SPEARMINTAA024416,LB,Drum,,BlendingRack,BR2J
030110,CHEM - EVERSORB AQ1,LB,Pail,,UnderMixTank,MT1
030111,CHEM - LAMBENT 703,LB,Drum,,BlendingRack,"BR1A, BR2L"
030112,DYE-CHROMATINT BLUE 0408 D3500,LB,Pail,,DyeShelves,DyeShelves
030113,CHEM - COLADET 190,LB,Tote,,Shed2,BS2E (Backside)
030114,0x2a,0x2a,Drum,,MainMaterials,MM12
030115,0x2a,0x2a,Drum,,MainMaterials,MM11
030117,CHEM - APFS 14,LB,Pail,,UnderMixTank,MT1
030119,CHEM - Advapel 851,LB,Drum,,MainMaterials,MM11
030120,CHEM - APS-232OMS,LB,Drum,,MainMaterials,MM12
030121,CHEM - POLYGLYCOL 112-2030130,LB,Drum,,BlendingRack,BR3I
030122,DYE-LIQUIDTINT YELLOW L81080 A,LB,Pail,,DyeShelves,DyeShelves
030124,FRAGRANCE-ORANGE ENHANCER AA-0,LB,Pail,,BlendingRack,BR1H
030130,CHEM - GLUCOPON 425N,LBS,Drum,,BlendingRack,BR2E
030132,DYE-BLUE LACE 2325 50 KOCH IND,LB,Drum,,BlendingRack,BR1K
030135,0x2a,0x2a,,,BlendingRack,BR2K
030137,CHEM - SODA ASH - ** DENSE **,LB,PowderBags,,ErnestRack,ER1C
030138,CHEM - POTASSIUM  CARBONATE,LB,PowderBags,,BlendingRack,BR2H
030142,CHEM - ANTI-FOAM BAN 3588G,LBS,Drum,,ErnestRack,ER2C
030143,CHEM - WATER(softened/deionize,GAL,-,,DI Tank,DI Tank
030146,CHEM - BUSAN 1264 (was 1078),LB,Tote,,Overflow_Storage,Overflow_Storage
030146P,CHEM - PREVENTOL D7,LB,Tote,,Overflow_Storage,Overflow_Storage
030148,CHEM - NACAP,LB,Drum,,BlendingRack,BR1B
030149,CHEM - EVOGEN MEC 10X,LB,-,,NOTSTORED,NOTSTORED
030150,CHEM - TUNG OIL polymerized,LB,Tote,,MainMaterials,MM20
030151,CHEM - GLYCOLIC ACID,LB,Tote,,MainMaterials,MM07
030152,CHEM - Pilot AOS40,LB,Tote,,BlendingOffice,BO4
030153,CHEM - DOWICIL 75,LB,Pail,,UnderMixTank,MT2
030154,CHEM - SODIUM BENZOATE,LB,PowderBags,,LabRack,LR2D
030155,DYE-METHELYNE CHLORIDE BLUE D2,LB,Pail,,DyeShelves,DyeShelves
030158,CHEM - Carbopol EZ-2 Polymer,LB,Box,,BlendingRack,BR4J
030159,CHEM - Gluconic Acid,LB,Drum,,BlendingRack,BR3D
030161,CHEM - GLACIAL ACETIC ACID 97%,LB,Drum,,BlendingRack,"BR1D, BR2B"
030162,FRAGRANCE-Peppermint #97114  W,LB,Drum,,BlendingRack,BR2I
030164,CHEM - Fibrosil -EM60-HG,LB,Tote,,MainMaterials,MM06
030171,CHEM - Kelzan AP-AS(xanthum gu,LBS,PowderBags,,BlendingRack,BR4K
030172,CHEM - CANOLA OIL AP-60,LBS,Tote,,OilsArea,OilsArea
030173,CHEM - Na-lube BL-1208,LBS,Drum,,MaterialsRack,MR1B
030174,CHEM - VISCOPLEX 10-310,LBS,Drum,,MaterialsRack,MR1B
030175,FRAGRANCE-BLUEBERRY W/S ORC150,LB,Drum,,BlendingRack,BR1J
030176,CHEM - BTNN80 NO DYE,GAL,Drum,,BlendingRack,BR3B
030178,CHEM - Ammonia 26%,LB,Drum,,BlendingRack,BR2B
030179,CHEM - Protelan LS 7585,LB,Tote,,MainMaterials,MM02
030180,CHEM - Cordaquat 1207,LB,Drum,,BlendingRack,BR3K
030181,DYE-CHROMATINT GREEN 1707 D962,LB,Pail,,DyeShelves,DyeShelves
030182,0x2a,0x2a,,,NOTSTORED,NOTSTORED
030191,CHEM - Sodium Carbonate Peroxy,LB,,,LabRack,LR4B
030192,DYE-CHROMATINT YELLOW D51041,LB,Pail,,DyeShelves,DyeShelves
030193,CHEM - APW 320N,LB,Drum,,BlendingRack,BR2D
030195,CHEM - SYNRAY 1182,LB,Tote,,MainMaterials,MM21
030197,FRAGRANCE-Orchidia Mildew Stai,LB,Drum,,BlendingRack,BR1I
030198,CHEM - Odernone #69880,LB,Drum,,BlendingRack,BR1I
030199,FRAGRANCE-Ocean Breeze W/S 118,LB,Pail,,BlendingRack,BR1H
031013,CHEM - Tomadol 91-8,LB,Tote and Drum,,BlendingOffice,BO3
031018,CHEM - Denatured Alcohol,GAL,Tank,,TankFarm,Tank3
031019,CHEM - TWEEN 20 (Lumisorb PSML,LBS,Drum,,ErnestRack,ER4D
031022,FRAGRANCE-Bubble Gum W/S507-03,LB,Drum,,BlendingRack,BR2I
031025,CHEM - AdvaPel 734,LB,Tote,,MainMaterials,MM13
031026,CHEM - CONOSOL 260 SOLVENT,LB,Tote,,Overflow_Storage,Overflow_Storage
031027,CHEM - Novac Acl,LB,Tote,,MaterialsRack,MR4D
031028,DYE-CHROMATINT BLUE D55000,LB,Pail,,DyeShelves,DyeShelves
031029,CHEM - WP-40 API,LB,Drum,,ErnestRack,ER4D
031031,CHEM - GLYCOL ETHER DB,LB,Tote,,Shed2,BS2F
031032,CHEM - Peroxy Blend PB 33,LB,-,,NOTSTORED,NOTSTORED
031034,FRAGRANCE-Tea Tree Oil #95525,LB,Pail,,BlendingRack,BR1H
031035,CHEM - Dissolvene GL-47,LB,Drum,,BlendingRack,BR1C
031036,CHEM - PTFE Dispersion 50,LB,Drum,,UnderMixTank,MT3
031037,FRAGRANCE-Coconut Lime #69979,LB,Pail,,BlendingRack,BR1G
031038,CHEM - Thetapel AM 5010,LB,,,,
031039,CHEM - T DET A 267,LB,Drum,,BlendingRack,BR3E
031040,DYE-CHROMATINT 0984 amber L810,LB,Pail,,DyeShelves,DyeShelves
031041,DYE-Liquidtint Blue HP L85015,LB,Pail,,DyeShelves,DyeShelves
031042,CHEM - Tomamine Acid Thickener,LB,,,Shed2,BS2E (Backside)
031043,FRAGRANCE-W/S Cherry 98297,LB,Pail,,BlendingRack,BR1G
031044,FRAGRANCE-Blueberry #1014-0092,LB,Drum,,BlendingRack,BR2J
031045,CHEM - T-DET A826,LB,,,NOTSTORED,NOTSTORED
031046,FRAGRANCE-Cucumber kiwi 96088,LB,Pail,,BlendingRack,BR1H
031047,CHEM - BYK Aquacer 565,LB,,,UnderMixTank,MT2
031048,CHEM - Evogen Carpet 10X UF,GAL,Drum,,BlendingRack,BR4B
031049,CHEM - Advapel 725,LBS,Drum,,BlendingRack,BR4D
031050,FRAGRANCE-Citrus #40692,LB,Drum,,BlendingRack,BR1G
050000,CHEM - PROPYLENE GLYCOL,GAL,Tank,,TankFarm,"Tank4, Tank5"
050000G,CHEM - GLYCERIN,GAL,Tank,,TankFarm,"Tank2, Tank7"
050007,CHEM - CAUSTIC SODA 50% - MEMB,LBS,Tote,,MainMaterials,MM03
050008,DYE-CHROMATECH RED 40 C73024X,LBS,Drum,,BlendingRack,BR1L
050012,DYE-LIQUID VIOLET 0974 L84020,LB,,,NOTSTORED,NOTSTORED
050015,CHEM - METALGUARD A81 no dye,LB,Tote,,MainMaterials,MM15
050017,DYE-Chromatint Red 1887 D93287,LB,Drum,,BlendingRack,BR1K
050020,DYE-Liquitint Pink L83045,LB,Drum,,BlendingRack,BR1L
100399,DYE-CHROMATINT YELLOW 1648 D91,LB,Pail,,DyeShelves,DyeShelves
100401,CHEM - Lubrizol 9047W,LB,,,NOTSTORED,NOTSTORED
100404,CHEM - LUBRIZOL 560H,LB,,,NOTSTORED,NOTSTORED
100408,CHEM - Calcium Nitrate 66%,LB,Tote,,MainMaterials,MM01
100410,CHEM - TACKIFIER V-178,LB,,,NOTSTORED,NOTSTORED
100412,CHEM - ELCO 102  ZN 1,LB,Drum,,MaterialsRack,MR1B
100416,DYE-CHROMATINT RED IK D53004,LB,Pail,,DyeShelves,DyeShelves
100418,DYE-CHROMATINT GREEN HF 17419H,LB,Pail,,MaterialsRack,MR1C
100420,CHEM - SHF63 /PAO8 /Spctrasyn8,LBS,Drum,,MaterialsRack,"MR3A, MR3B"
100421G2,CHEM - MOTIVA STAR 12     (ara,GAL,Tank,,TankFarm,TankL
100422,CHEM - INFINEUM V385,LB,Drum,,LabRack,LR1D
100423,0x2a,0x2a,Drum,,MaterialsRack,MR2B
100424,CHEM - INFINEUM SV265,GAL,Drum,,LabRack,LR1B
100425,CHEM - PIB POLYISOBUTYLENE  In,LBS,Drum,,MaterialsRack,"MR2C,MR2D"
100426,CHEM - IPAC 9833L,GAL,Tote,,MaterialsRack,MR1D
100427,CHEM - MOTIVA STAR 4     (aram,GAL,Tank,,TankFarm,TankA
100428M6,CHEM - Motiva Star 6 (aramcoPr,GAL,Tank,,TankFarm,TankC
100429,CHEM - INFINEUM C9330/D2325,LBS,Drum,,MaterialsRack,MR2B
100432,CHEM - DIO A32 (DIOA-DF),LBS,Drum,,MaterialsRack,MR1A
100433,CHEM - ENZYME CONCENTRATE,LBS,Drum,,Shed2,BS2F (Backside)
100433CONS,CHEM - ENZYME CONC - CONSIGNED,LBS,Drum,,Shed2,BS2D (Backside)
100433GTR,0x2a,0x2a,,,NOTSTORED,NOTSTORED
100433XBEE,0x2a,0x2a,,,NOTSTORED,NOTSTORED
100436,CHEM - PINE OIL,LB,Drum,,BlendingRack,BR2L
100437,CHEM - TRIETHANOLAMINE 99%,LB,,,NOTSTORED,NOTSTORED
100438,DYE-CHROMATINT GREEN 1102 M960,LB,Pail,,DyeShelves,DyeShelves
100439,CHEM - UREA (POT ASH),LB,PowderBags,,LabRack,LR3C
100446,CHEM - Lubrizol 1038U,GAL,Drum,,MaterialsRack,MR2D
100447,CHEM - Viscoplex 10-930,LB,Drum,,Shed3,BS3A (Backside)
100448,CHEM - XPE Additive,LB,Tote,,Shed3,BS3A (Backside)
100449,CHEM - Ultra S8 Group III 8cst,LB,Tank,,TankFarm,TankF
100450,CHEM - Infineum S956,LB,Drum,,"LabRack, MaterialsRack","LR1C, MR2A"
100451,CHEM - PAO 100 /Spectrasyn 100,LB,Drum,,MaterialsRack,"MR4A, MR4B"
100452,CHEM - P-205,LB,,,NOTSTORED,NOTSTORED
100453,CHEM - Ci 1000,LB,,,NOTSTORED,NOTSTORED
100454,CHEM - MCC 2115,LB,Drum,,ErnestRack,ER4D
100457,CHEM - Pure Performance 70N Co,LBS,Tote,,MainMaterials,MM17
100459,CHEM - API 195,LBS,Drum,,BlendingRack,BR4C
100460,DYE-Chromatint Orange 1073 - M,LB,Pail,,DyeShelves,DyeShelves
100461,DYE-Chromatint Patent Blue L85,LB,Drum,,BlendingRack,BR1K
100465,DYE-Liquidtint Green L86045,LB,Pail,,DyeShelves,DyeShelves
100466,CHEM - SODIUM CITRATE,LB,,,NOTSTORED,NOTSTORED
100467,FRAGRANCE-Super Green AE140741,LB,,,NOTSTORED,NOTSTORED
100468,CHEM - NP-9,LB,Drum,,BlendingRack,BR3J
100469,CHEM - ECRYL 3600,LB,,,NOTSTORED,NOTSTORED
100470,CHEM - ECRYL 3130 SEALER 30%,LB,,,NOTSTORED,NOTSTORED
100471,CHEM - INFINEUM D3503,LB,Drum,,MaterialsRack,"MR3C, MR3D"
100507TANKB,CHEM - SASOL LPA 170 - TANK B,GAL,Tank,,TankFarm,TankB
100507TANKD,CHEM - Calumet 400-500 TANK D,GAL,Tank,,TankFarm,TankD
100507TANKO,CHEM - Calumet 400-500 TANK O,GAL,Tank,,TankFarm,TankO
100508,CHEM - INFINEUM S816 (IDN 6669,GAL,Tank,,TankFarm,TankJ
100511,CHEM - BITREX Liquid Solution,LBS,Pail,,UnderMixTank,MT1
100512,CHEM - RHODIA INFINITY,LBS,Drum,,ErnestRack,ER4C
100513,CHEM - RHODIA IRIS,LBS,Drum,,ErnestRack,ER4C
100515,CHEM - APW 345V,LBS,Drum,,MainMaterials,MM05
100516,CHEM - Eversorb 83,LBS,Pail,,UnderMixTank,MT1
100517,CHEM - Vitech ALB,LBS,Tote,,MainMaterials,MM08
100518,CHEM - Vitech EQ-i,LBS,Tote,,MainMaterials,MM09
100519,CHEM - Vitech DAN (tote only),LBS,Tote,,MainMaterials,MM10
100521,CHEM - OGA 293 HF,LBS,Drum,,BlendingRack,BR2E
100522,CHEM - Vitech BW,LBS,Drum,,BlendingRack,BR2C
100523,CHEM - Lanolin,LBS,Drum,,ErnestRack,ER2B
100524,CHEM - NA-SUL CA/W1146,LBS,-,,Shed3,BS3A (Backside)
100525,CHEM - CER-150SN,LBS,,,ErnestRack,ER2B
100526,CHEM - Berol 226 (in totes),LB,Tote,,Scale,Scale
100527,CHEM - Drying Agent pre-mix,LB,Tote,,MaterialsRack,MR4C
100528,CHEM - Tomadry E40 (Tomamine E,LBS,Drum,,Shed2,BS2E (Backside)
100529,CHEM - Mineral Seal Oil (calum,LB,Drum,,Shed2,BS2E (Backside)
100530,CHEM - H-Sil SQ (silane),LB,Pail,,UnderMixTank,MT1
100532,CHEM - DEF 45,LBS,Drum,,BlendingRack,BR3C
100533,CHEM - Tea Tree Oil 50-6270-01,LBS,Drum,,BlendingRack,BR3J
100534,FRAGRANCE-Lemongrass W/S  90-3,LB,Drum,,BlendingRack,BR3J
100536,CHEM - Vitech ILBT,LBS,Drum,,BlendingRack,BR1E
100537,0x2a,0x2a,,,NOTSTORED,NOTSTORED
100538,CHEM - Xylene,LB,Drum,,Shed2,BS2A
100539,CHEM - RM CP 450,LB,,,ErnestRack,ER4B
100540,CHEM - Pliolite AC4,LB,,,ErnestRack,ER4B
100541,CHEM - AMTAL 400 A-MB TALC,LB,,,ErnestRack,ER4B
100542,CHEM - Vikoflex 7170 ESO,LB,Tote,,ErnestRack,"ER1A, ER1B"
100543,CHEM - Kflex 500,LB,,,NOTSTORED,NOTSTORED
100544,CHEM - Acetone,LB,Drum,,Shed2,BS2E (Backside)
100545,CHEM - Printex G Carbon Black,LB,,,ErnestRack,ER3C
100546,CHEM - MEK,LB,Drum,,Shed2,BS2E (Backside)
100547,CHEM - AFTON 6455,LB,Drum,,BlendingRack,BR2A
100548,CHEM - Ethanox 4737R - previou,LB,Drum,,BlendingRack,BR2A
100549,CHEM - Nathol Red VPU52088,LB,,,ErnestRack,ER3C
100550,CHEM - White Tint Paste  VPU10,LB,,,NOTSTORED,NOTSTORED
100551,CHEM - Pthalo Green VPU41168,LB,,,ErnestRack,ER3C
200121,CHEM - CaCl2 pwdr for pouches,GRAM,PowderBags,,NOTSTORED,NOTSTORED
200123,CHEM - SODIUM CHLORITE,GRAM,PowderBags,,NOTSTORED,NOTSTORED
200125,CHEM - CITRIC ACID,GRAM,PowderBags,,NOTSTORED,NOTSTORED
200126,CHEM - LIQUID SODIUM CHLORITE,LBS,Tote,,LabRack,LR2A
240011,DYE-Chromatint 0218 (alizarine,LB,Drum,,BlendingRack,BR1K
240073,CHEM - SODIUM METASILICATE,LB,PowderBags,,BlendingRack,BR2G
240077,CHEM - LIQUID POTASH 45% (pot,LB,Drum,,BlendingRack,BR1F
240079,CHEM - PHOSPHORIC ACID  75%240,LB,Tote,,Shed2,BS2A (Backside)
240087,DYE-URANINE 50% liquid dye D11,LB,Pail,,DyeShelves,DyeShelves
240089,CHEM - Soyanol 1000E (I4-054A),DRUM,,,NOTSTORED,NOTSTORED
500200,CHEM - METHANOL,GAL,Tank,,TankFarm,Tank8
500313,DYE-KEYACID RED 40F 601-027-50,LB,Pail,,DyeShelves,DyeShelves
500314,CHEM - DOW PG Carbo Wax 300,LB,Drum,,BlendingRack,BR3I
500315,DYE-KEYACID TARTRAZINE 801-023,LB,Pail,,DyeShelves,DyeShelves
500317,DYE-PYLAM AMARANTH RED LX-9944,LB,Pail,,DyeShelves,DyeShelves
500318,CHEM - SODIUM SULFITE,LB,Pail,,UnderMixTank,MT2
500319,DYE-Liquidtint Violet M94045,LB,Pail,,DyeShelves,DyeShelves
500321,DYE-Chromatech Liquitint Orang,LB,Pail,,DyeShelves,DyeShelves
500322,DYE - L83110 LIQUITINT RED 217,LB,Pail,,DyeShelves,DyeShelves
500323,DYE-Chromatint GREEN 1736A - D,LB,Pail,,DyeShelves,DyeShelves
601015,CHEM - EG Raw,GALS,Tank,,TankFarm,Tank6
601021,CHEM - METALGUARD A65 NO DYE,LBS,Drum,,BlendingRack,BR2D
82500B1,CHEM - Oxytetracycline HCL (co,GR,,,NOTSTORED,NOTSTORED
82500B2,CHEM - MINEX 7  (compound X),GR,,,NOTSTORED,NOTSTORED
