billno,po,description,blendPN,case_size,qty,bottle,cap,runtime,carton,starttime,line
17997560,240755,WM DFI TCW3                         black bottle / black cap,100501K,6-1gal,72,BLACK HD Fstyle Gal,502411 (BLK),0.6,050200,16.756666666666668,JB LINE,21
903000T,240825,SB TCW3 2-Cycle Engine Oil    unique footprint for Walmart,100501K,2-1gal,500,BLUE HD Fstyle Gal,502411 (BLK),1.0416666666666667,604156,17.35666666666667,JB LINE,22
17997362,240487,WM FULL Synthetic 10W40     black bottle / black cap,602071,6-1gal,40,BLACK HD Fstyle Gal,502411 (BLK),0.4,050200,18.398333333333337,JB LINE,23
17997404,240487,WM Synthetic 10W30               black bottle / black cap,28100.B,6-1gal,80,BLACK HD Fstyle Gal,502411 (BLK),0.7,050200,18.798333333333336,JB LINE,24
085900EUR,240487,Deck Cleaner European                                  ,602017,4-1gal,100,White HD Fstyle Gal,502403     (wht),0.7,604000,19.498333333333335,JB LINE,25
90651,240602,Seachoice Deck Cleaner                                               ,602017,4-1gal,100,White HD Fstyle Gal,502403     (wht),0.4166666666666667,604000,20.198333333333334,JB LINE,26
085900N,240602,Deck Cleaner             ,602017,4-1gal,250,White HD Fstyle Gal,502403     (wht),1.0416666666666667,604000,20.615000000000002,JB LINE,27
071600N,240487,Black Streak Remover                     ,83200.B,4-1gal,100,White HD Fstyle Gal,502403     (wht),0.7,604000,21.65666666666667,JB LINE,28
030200N,240487,SB EGAF ,601013PA,6-1gal,150,White HD Fstyle Gal,502403     (wht),1.1,050200,22.35666666666667,JB LINE,29
043810,240487,ITW Low Conductivity  corner protectors / DOUBLE WRAP PALLETS ,300355.B,4-1gal,1500,White HD Fstyle Gal,502403     (wht),6.25,604000,23.45666666666667,JB LINE,30
080500EUR,240487,Bilge Cleaner European                                                            ,602001,4-1gal,40,White HD Fstyle Gal,502403     (wht),0.33,604000,29.70666666666667,JB LINE,31
90611,240602,Seachoice Boat Wash                                                                           ,602000,4-1gal,100,White HD Fstyle Gal,502403     (wht),0.6,604000,30.03666666666667,JB LINE,32
080400EUR,240487,Boat Wash European                                                      ,602000,4-1gal,40,Natural HD Fstyle Gal,502403     (wht),0.4,604000,30.63666666666667,JB LINE,33
071701,240487,Toilet Treatment Lemon                                                                                    ,602010,6-1gal,50,Natural HD Fstyle Gal,502403     (wht),0.5,050200,31.03666666666667,JB LINE,34
10948768,240487,WM P.O. Salt Off Concentrate     ,94444CON.B,4-1gal,200,White HD Fstyle Gal,502403     (wht),1,604000,31.53666666666667,JB LINE,35
093900N,240602,Salt Off Concentrate                                      ,94444CON.B,4-1gal,200,White HD Fstyle Gal,502403     (wht),0.8333333333333334,604000,32.53666666666667,JB LINE,36
089200EUR,240487,Rust Stain Remover Euro   38MMACID CAP ,602003,4-1gal,50,White HD Fstyle Gal,38MMACID,0.5,604000,33.370000000000005,JB LINE,37
 , , ,,,,,,1.5,,33.870000000000005,JB LINE,38
